Tipo,Num,Subarea,Local,Hub,Roteiro,Status,Hora
APREV,01,B2,R. Frei Caneca c/ Pca Republica,BPChq,A_PE,PENDENTE,
APREV,02,B1,Av. Pres. Vargas c/ Pca Republica,BPChq,A_PE,PENDENTE,
APREV,03,B1,Av. Pres. Vargas c/ R. Gal. Caldwell,BPChq,A_PE,PENDENTE,
APREV,04,B1,Av. Pres. Vargas c/ R. Santana ZN,BPChq,A_PE,PENDENTE,
APREV,05,B1,Pca Republica c/ R. Moncorvo Filho,BPChq,A_PE,PENDENTE,
APREV,06,B1,R. Gal. Caldwell c/ R. Moncorvo Filho,BPChq,A_PE,PENDENTE,
APREV,07,B1,R. Frederico Silva c/ R. Gal. Caldwell,BPChq,A_PE,PENDENTE,
APREV,08,B1,R. Benedito Hipolito c/ R. Santana,BPChq,A_PE,PENDENTE,
APREV,09,B2,Av. Mem de Sa c/ R. do Senado,BPChq,A_PE,PENDENTE,
APREV,10,B2,Av. Mem de Sa c/ R. Frei Caneca,BPChq,A_PE,PENDENTE,
APREV,11,B2,Av. Riachuelo c/ Av. H. Valadares,BPChq,A_PE,PENDENTE,
APREV,12,B2,R. Frei Caneca c/ R. Mqs Pombal,BPChq,A_PE,PENDENTE,
APREV,13,B1,R. B. Hipolito c/ R. Mqs Pombal,BPChq,A_PE,PENDENTE,
APREV,14,B2,R. Salvador Sa c/ Rampa Vd 31 Marco,BPChq,A_PE,PENDENTE,
APREV,15,B1,Vd S.Pedro c/ Vd 31 de Marco,BPChq,A_PE,PENDENTE,
APREV,16,B2,R. F.Caneca emb. Vd 31 Marco,BPChq,A_PE,PENDENTE,
APREV,17,B2,R. F.Caneca c/ R. Eleone Almeida,BPChq,A_PE,PENDENTE,
APREV,18,B1,Av. P.Vargas ZN acesso Vd 31 Marco,BPChq,A_PE,PENDENTE,
APREV,19,B1,Av. P.Vargas c/ R. B.Ribeiro ZN,BPChq,A_PE,PENDENTE,
APREV,20,B2,R. Gal. Caldwell c/ R. Frei Caneca,BPChq,A_PE,PENDENTE,
APREV,21,B2,Saida Tunel Sta Barbara,MPTR,MPTR,PENDENTE,
APREV,22,B2,R. Dr. Lagden c/ R. Itapiru,BPChq,A_PE,PENDENTE,
APREV,23,B2,R. F.Caneca c/ R. Sr Matosinhos,BPChq,A_PE,PENDENTE,
APREV,24,A1,Av. P.Vargas ZN prox Estacio,4BPM,R2,PENDENTE,
APREV,25,A1,Av. P.Vargas ZN prox pto onibus,4BPM,R2,PENDENTE,
APREV,26,B2,Tv. 11 Maio c/ Av. Salvador Sa,BPChq,A_PE,PENDENTE,
APREV,27,A2,R. Salvador Sa c/ R. F.Caneca,4BPM,R3,PENDENTE,
APREV,28,A2,R. F.Caneca c/ R. A.Benevolo,4BPM,R3,PENDENTE,
APREV,29,A1,R. Pres. Barroso c/ R. J.Carmo,4BPM,R2,PENDENTE,
APREV,30,A1,R. U.Guimaraes c/ R. H.Beltrao,4BPM,R1,PENDENTE,
APREV,31,A1,R. Laura Araujo e/f Metro PcaXI,4BPM,R2,PENDENTE,
APREV,32,A1,Av. P.Vargas Centro c/ R. C.Neto,4BPM,R2,PENDENTE,
APREV,33,A1,Av. P.Vargas e/f Correios,4BPM,R2,PENDENTE,
APREV,34,A1,R. A.Lima c/ R. Af. Cavalcanti,4BPM,R2,PENDENTE,
APREV,35,A2,R. F.Caneca c/ R. Pirassununga,4BPM,R3,PENDENTE,
APREV,36,A2,Av. Salvador Sa c/ R. C.Neto,4BPM,R3,PENDENTE,
APREV,37,A1,R. J.Palhares c/ Av. P.Frontin,4BPM,R1,PENDENTE,
APREV,38,A1,R. Af. Cavalcanti e/f Prefeitura,4BPM,R2,PENDENTE,
APREV,39,A2,R. Laura Araujo c/ Av. Salvador,4BPM,R3,PENDENTE,
